EXECUTION;SIZE;TIME
1;270000;0.029024
2;270000;0.030296
3;270000;0.029496
4;270000;0.031985
5;270000;0.030772
6;270000;0.029886
7;270000;0.030420
8;270000;0.030145
9;270000;0.031980
10;270000;0.029274
11;270000;0.030068
12;270000;0.031256
13;270000;0.028969
14;270000;0.031110
15;270000;0.029613
16;270000;0.030114
17;270000;0.029944
18;270000;0.029213
19;270000;0.030464
20;270000;0.029322
21;270000;0.029236
22;270000;0.031511
23;270000;0.030328
24;270000;0.030812
25;270000;0.030804
26;270000;0.033141
27;270000;0.031156
28;270000;0.032766
29;270000;0.032360
30;270000;0.031153
1;810000;0.096413
2;810000;0.093958
3;810000;0.094319
4;810000;0.089448
5;810000;0.094886
6;810000;0.092909
7;810000;0.095887
8;810000;0.093903
9;810000;0.094187
10;810000;0.088131
11;810000;0.092452
12;810000;0.089236
13;810000;0.092044
14;810000;0.090985
15;810000;0.090239
16;810000;0.092111
17;810000;0.092509
18;810000;0.088299
19;810000;0.091168
20;810000;0.087846
21;810000;0.092276
22;810000;0.090001
23;810000;0.092631
24;810000;0.091965
25;810000;0.089137
26;810000;0.092117
27;810000;0.090299
28;810000;0.095144
29;810000;0.094120
30;810000;0.092826
1;2430000;0.288996
2;2430000;0.279792
3;2430000;0.300553
4;2430000;0.304867
5;2430000;0.306154
6;2430000;0.311952
7;2430000;0.294651
8;2430000;0.297809
9;2430000;0.299089
10;2430000;0.292884
11;2430000;0.277057
12;2430000;0.292332
13;2430000;0.301149
14;2430000;0.287348
15;2430000;0.299255
16;2430000;0.292391
17;2430000;0.289299
18;2430000;0.297969
19;2430000;0.277943
20;2430000;0.288175
21;2430000;0.282952
22;2430000;0.282377
23;2430000;0.282693
24;2430000;0.289989
25;2430000;0.282899
26;2430000;0.281098
27;2430000;0.287885
28;2430000;0.276166
29;2430000;0.280133
30;2430000;0.276438
1;7290000;0.896167
2;7290000;0.877424
3;7290000;0.893159
4;7290000;1.067195
5;7290000;0.892008
6;7290000;0.893099
7;7290000;0.907039
8;7290000;0.881102
9;7290000;0.906864
10;7290000;0.892584
11;7290000;0.907336
12;7290000;0.897876
13;7290000;0.923680
14;7290000;0.878055
15;7290000;0.912795
16;7290000;0.892980
17;7290000;0.908574
18;7290000;0.879186
19;7290000;0.892501
20;7290000;0.919417
21;7290000;0.891195
22;7290000;0.906915
23;7290000;0.897949
24;7290000;0.894951
25;7290000;0.875936
26;7290000;0.914011
27;7290000;0.891331
28;7290000;0.912132
29;7290000;0.880498
30;7290000;0.916297
1;21870000;2.953673
2;21870000;2.851014
3;21870000;2.856023
4;21870000;3.009548
5;21870000;2.929595
6;21870000;2.976498
7;21870000;2.937442
8;21870000;3.037251
9;21870000;2.909760
10;21870000;2.938417
11;21870000;2.925718
12;21870000;2.908863
13;21870000;3.003792
14;21870000;2.896184
15;21870000;2.973606
16;21870000;2.908454
17;21870000;2.925196
18;21870000;2.984090
19;21870000;2.918035
20;21870000;2.982358
21;21870000;2.865412
22;21870000;2.986464
23;21870000;2.853314
24;21870000;2.964618
25;21870000;2.984266
26;21870000;2.867687
27;21870000;2.971464
28;21870000;2.965211
29;21870000;2.923285
30;21870000;2.990399
1;65610000;9.433613
2;65610000;9.818201
3;65610000;9.323641
4;65610000;9.380576
5;65610000;9.625601
6;65610000;9.701694
7;65610000;9.311073
8;65610000;9.598749
9;65610000;9.610401
10;65610000;9.477286
11;65610000;9.621879
12;65610000;9.599940
13;65610000;9.472386
14;65610000;9.622740
15;65610000;9.623986
16;65610000;9.640417
17;65610000;9.253437
18;65610000;9.654679
19;65610000;9.357164
20;65610000;9.617568
21;65610000;9.593901
22;65610000;9.567873
23;65610000;9.275643
24;65610000;9.667787
25;65610000;9.594794
26;65610000;9.403675
27;65610000;9.647910
28;65610000;9.438193
29;65610000;9.584816
30;65610000;9.351691
